grego,strongs,campo,palavra_suspeita,texto_contexto,sugestao,decisao
εἰπόν,3004,pt,ram,disse(ram),,
Δαυίδ,1138,traducao,davi,Davi,,
Δαυίδ,1138,pt,davi,Davi,,
Γαλιλαίας,1056,traducao,galiléia,da Galiléia,,
Γαλιλαίας,1056,pt,galiléia,da Galiléia,,
Ἰωσήφ,2501,traducao,josé,José,,
Ἰωσήφ,2501,pt,josé,José,,
Ἰακώβ,2384,traducao,jacó,Jacó,,
Ἰακώβ,2384,pt,jacó,Jacó,,
Ἰουδαίας,2449,traducao,judéia,da Judéia,,
Ἰουδαίας,2449,pt,judéia,da Judéia,,
Ἡρῴδης,2264,traducao,herodes,Herodes,,
Ἡρῴδης,2264,pt,herodes,Herodes,,
Ἰσαάκ,2464,traducao,isaque,Isaque,,
Ἰσαάκ,2464,pt,isaque,Isaque,,
παρακαλῶ,3870,traducao,lit,"eu rogo, convoco, invoco, lit. chamo para perto, (a) exorto, encorajo, (p) sou consolado",,
Γαλιλαίαν,1056,traducao,galiléia,Galiléia,,
Γαλιλαίαν,1056,pt,galiléia,Galiléia,,
Ἠλίας,2243,traducao,elias,Elias,,
Ἠλίας,2243,pt,elias,Elias,,
Ἰάκωβον,2385,traducao,tiago,Tiago,,
Ἰάκωβον,2385,pt,tiago,Tiago,,
Καφαρναούμ,2584,traducao,cafarnaum,Cafarnaum,,
Καφαρναούμ,2584,pt,cafarnaum,Cafarnaum,,
Καπερναοὺμ,2584,traducao,cafarnaum,Cafarnaum,,
Καπερναοὺμ,2584,pt,cafarnaum,Cafarnaum,,
Καπερναούμ,2584,traducao,cafarnaum,Cafarnaum,,
Καπερναούμ,2584,pt,cafarnaum,Cafarnaum,,
Ἡρῴδου,2264,traducao,herodes,de Herodes,,
Ἡρῴδου,2264,pt,herodes,de Herodes,,
Ἰακώβου,2385,traducao,tiago,de Tiago,,
Ἰακώβου,2385,pt,tiago,de Tiago,,
Αἴγυπτον,125,traducao,egito,Egito,,
Αἴγυπτον,125,pt,egito,Egito,,
ἔπεσον,4098,pt,ram,caí(ram),,
προσεκύνησαν,4352,traducao,lit,"eles(as) se prostraram, reverenciaram, adoraram, lit. beijaram o chão",,
τιμοθεος,5095,traducao,timóteo,Timóteo,,
τιμοθεος,5095,pt,timóteo,Timóteo,,
Ἀντιόχειαν,490,traducao,antioquia,Antioquia,,
Ἀντιόχειαν,490,pt,antioquia,Antioquia,,
Ζεβεδαίου,2199,traducao,zebedeu,de Zebedeu,,
Ζεβεδαίου,2199,pt,zebedeu,de Zebedeu,,
Ἰάκωβος,2385,traducao,tiago,Tiago,,
Ἰάκωβος,2385,pt,tiago,Tiago,,
Ἰορδάνου,2446,traducao,jordão,do Jordão,,
Ἰορδάνου,2446,pt,jordão,do Jordão,,
Ἰουδαία,2449,traducao,judéia,Judéia,,
Ἰουδαία,2449,pt,judéia,Judéia,,
ἀγαπῶμεν,25,traducao,preferamos,"nós amemos, no sentido de preferamos (ação, não sentimento)",,
γρηγορεῖτε,1127,traducao,lit,"vós vigiai, estai alerta, lit permanecei acordado",,
Ἠσαίας,2268,traducao,isaías,Isaías,,
Ἠσαίας,2268,pt,isaías,Isaías,,
Καισάρειαν,2542,traducao,cesareia,Cesareia,,
Καισάρειαν,2542,pt,cesareia,Cesareia,,
περιπάτει,4043,traducao,fig,"tu anda, fig. vive",,
περιπατεῖν,4043,traducao,fig,"andar, fig. viver",,
Βαραββᾶν,912,traducao,barrabás,Barrabás,,
Βαραββᾶν,912,pt,barrabás,Barrabás,,
Ἐλισάβετ,1665,traducao,elisabete,Isabel ou Elisabete,,
Ἐλισάβετ,1665,pt,elisabete,Elisabete,,
Ἠσαίου,2268,traducao,isaías,de Isaías,,
Ἠσαίου,2268,pt,isaías,de Isaías,,
παρακαλῶν,3870,traducao,lit,"rogando, convocando, invocando, lit. chamando para perto, (a) exortando, encorajando, (p) sendo consolado",,
περιπατεῖτε,4043,traducao,fig,"vós andai, fig. vivei",,
Σαούλ,4549,traducao,saul,Saul,,
Σαούλ,4549,pt,saul,Saul,,
Αἰγύπτου,125,traducao,egito,do Egito,,
Αἰγύπτου,125,pt,egito,do Egito,,
Ἁνανίας,367,traducao,ananias,Ananias,,
Ἁνανίας,367,pt,ananias,Ananias,,
Ἔφεσον,2181,traducao,éfeso,Éfeso,,
Ἔφεσον,2181,pt,éfeso,Éfeso,,
Μελχισεδέκ,3198,traducao,melquisedeque,Melquisedeque,,
Μελχισεδέκ,3198,pt,melquisedeque,Melquisedeque,,
παρεκάλει,3870,traducao,lit,"ele(a) rogava, convocava, invocava, lit. chamava para perto, (a) exortava, encorajava, (p) era consolado",,
παρεκάλουν,3870,traducao,lit,"eles(as) rogavam, convocavam, invocavam, lit. chamavam para perto, (a) exortavam, encorajavam, (p) eram consolado",,
Σαμαρείας,4540,traducao,samaria,de Samaria,,
Σαμαρείας,4540,pt,samaria,de Samaria,,
Σαῦλος,4569,traducao,saulo,Saulo,,
Σαῦλος,4569,pt,saulo,Saulo,,
ἀγαπᾶτέ,25,traducao,preferais,"vós ameis, no sentido de preferais (ação, não sentimento)",,
Βεελζεβοὺλ,954,traducao,belzebu,Belzebu,,
Βεελζεβοὺλ,954,pt,belzebu,Belzebu,,
Γαλιλαία,1056,traducao,galiléia,Galiléia,,
Γαλιλαία,1056,pt,galiléia,Galiléia,,
Ἠλίαν,2243,traducao,elias,Elias,,
Ἠλίαν,2243,pt,elias,Elias,,
Ἰούδα,2448,traducao,judá,de Judá,,
Ἰούδα,2448,pt,judá,de Judá,,
Ἰουδαίαν,2449,traducao,judéia,Judéia,,
Ἰουδαίαν,2449,pt,judéia,Judéia,,
εἱστήκει,2476,traducao,estara,"ele(a) se posicionara, estara de pé, parara, estabelecera",,
εἱστήκεισαν,2476,traducao,estaram,"eles(as) se posicionaram, estaram de pé, pararam, estabeleceram",,
περιεπάτει,4043,traducao,fig,"ele(a) andava, fig. vivia",,
περιπατοῦσιν,4043,traducao,fig,"eles(as) andam, fig. vivem",,
προσκυνήσουσιν,4352,traducao,lit,"eles(as) se prostrarão, reverenciarão, adorarão, lit. beijarão o chão",,
Συμεών,4826,traducao,simeão,"Simeão, Simão",,
Συμεών,4826,pt,simeão,Simeão,,
Ἀνδρέας,406,traducao,andré,André,,
Ἀνδρέας,406,pt,andré,André,,
Βηθανίαν,963,traducao,betânia,Betânia,,
Βηθανίαν,963,pt,betânia,Betânia,,
