grego,strongs,campo,valor_original,valor_corrigido,palavra_errada,correcao
ἐχορτάσθησαν,5526,traducao,"eles(as) foram alimentados, foram preenchidoss, foram satisfeitoss","eles(as) foram alimentados, foram preenchidos, foram satisfeitoss",preenchidoss,preenchidos
ἐχορτάσθησαν,5526,traducao,"eles(as) foram alimentados, foram preenchidoss, foram satisfeitoss","eles(as) foram alimentados, foram preenchidos, foram satisfeitos",satisfeitoss,satisfeitos
πνευματικῇ,4152,traducao,à espirituai,à espirituais,espirituai,espirituais
πνευματικῇ,4152,pt,à espirituai,à espirituais,espirituai,espirituais
ἀναδείξεως,323,traducao,da mostranda,da mostrando,mostranda,mostrando
ἀναδείξεως,323,pt,da mostranda,da mostrando,mostranda,mostrando
γογγυσμῶν,1112,traducao,dos resmungandos,dos resmungando,resmungandos,resmungando
γογγυσμῶν,1112,pt,dos resmungandos,dos resmungando,resmungandos,resmungando
διαφθείρει,1311,traducao,"ele(a) destrói, corrompe, arruina, estraga","ele(a) destrói, corrompe, arruína, estraga",arruina,arruína
διαφθείρεται,1311,traducao,"ele(a) destrói, corrompe, arruina, estraga","ele(a) destrói, corrompe, arruína, estraga",arruina,arruína
ὀφθαλμοδουλίᾳ,3787,traducao,aos atendimentos oftalmológicoss,aos atendimentos oftalmológicos,oftalmológicoss,oftalmológicos
ὀφθαλμοδουλίᾳ,3787,pt,aos atendimentos oftalmológicoss,aos atendimentos oftalmológicos,oftalmológicoss,oftalmológicos
πάρεσιν,3929,traducao,passanda,passando,passanda,passando
πάρεσιν,3929,pt,passanda,passando,passanda,passando
περιθέσεως,4025,traducao,da colocanda ao redor,da colocando ao redor,colocanda,colocando
περιθέσεως,4025,pt,da colocanda ao redor,da colocando ao redor,colocanda,colocando
πνευματικῆς,4152,traducao,da espirituai,da espirituais,espirituai,espirituais
πνευματικῆς,4152,pt,da espirituai,da espirituais,espirituai,espirituais
χειραγωγούς,5497,traducao,guios,guias,guios,guias
χειραγωγούς,5497,pt,guios,guias,guios,guias
