grego;strongs;campo;palavra_original;decisao;antes;depois
Ἀββά;5;traducao;abba;Abba;Abba;Abba
Ἀββά;5;pt;abba;Abba;Abba;Abba
Ἅβελ;6;traducao;abel;Abel;Abel;Abel
Ἅβελ;6;pt;abel;Abel;Abel;Abel
Ἀβιά;7;traducao;abias;Abias;Abias;Abias
Ἀβιά;7;pt;abias;Abias;Abias;Abias
Ἀβιάθαρ;8;traducao;abiatar;Abiatar;Abiatar;Abiatar
Ἀβιάθαρ;8;pt;abiatar;Abiatar;Abiatar;Abiatar
Ἀβιληνῆς;9;traducao;abilene;Abilene;da Abilene;da Abilene
Ἀβιληνῆς;9;pt;abilene;Abilene;da Abilene;da Abilene
Ἀβιούδ;10;traducao;abiúde;Abiúde;Abiúde;Abiúde
Ἀβιούδ;10;pt;abiúde;Abiúde;Abiúde;Abiúde
Ἄγαβος;13;traducao;ágabo;Ágabo;Ágabo;Ágabo
Ἄγαβος;13;pt;ágabo;Ágabo;Ágabo;Ágabo
ἀγαπῶ;25;traducao;prefero;preferir;eu amo, no sentido de prefero (ação, não sentimento);eu amo, no sentido de preferir (ação, não sentimento)
ἀγαπῶμεν;25;traducao;preferamos;preferir;nós amemos, no sentido de preferamos (ação, não sentimento);nós amemos, no sentido de preferir (ação, não sentimento)
ἀγαπᾶτέ;25;traducao;preferais;preferir;vós ameis, no sentido de preferais (ação, não sentimento);vós ameis, no sentido de preferir (ação, não sentimento)
ᾅδῃ;86;traducao;hade;Hades;ao hade;ao Hades
ᾅδῃ;86;pt;hade;Hades;ao hade;ao Hades
ᾅδου;86;traducao;hades;Hades;do Hades;do Hades
ᾅδου;86;pt;hades;Hades;do Hades;do Hades
ᾅδης;86;traducao;hades;Hades;Hades;Hades
ᾅδης;86;pt;hades;Hades;Hades;Hades
ᾅδην;86;traducao;hades;Hades;Hades;Hades
ᾅδην;86;pt;hades;Hades;Hades;Hades
ἀδικήσωσιν;91;traducao;feram;firam;eles(as) façam o mal, agam injustamente, feram;eles(as) façam o mal, agam injustamente, firam
Ἀζώρ;107;traducao;azor;Azor;Azor;Azor
Ἀζώρ;107;pt;azor;Azor;Azor;Azor
Ἀθήναις;116;traducao;atenas;Atenas;Atenas;Atenas
Ἀθήναις;116;pt;atenas;Atenas;Atenas;Atenas
Ἀθηνῶν;116;traducao;atenas;Atenas;Atenas;Atenas
Ἀθηνῶν;116;pt;atenas;Atenas;Atenas;Atenas
Αἰγύπτῳ;125;traducao;egito;Egito;ao Egito;ao Egito
Αἰγύπτῳ;125;pt;egito;Egito;ao Egito;ao Egito
Αἰγύπτου;125;traducao;egito;Egito;do Egito;do Egito
Αἰγύπτου;125;pt;egito;Egito;do Egito;do Egito
Αἴγυπτος;125;traducao;egita;Egito;egita;Egito
Αἴγυπτος;125;pt;egita;Egito;egita;Egito
Αἴγυπτον;125;traducao;egito;Egito;Egito;Egito
Αἴγυπτον;125;pt;egito;Egito;Egito;Egito
Αἰνέα;132;traducao;enéio;Enéias;enéio;Enéias
Αἰνέα;132;pt;enéio;Enéias;enéio;Enéias
Αἰνέαν;132;traducao;enéio;Enéias;enéio;Enéias
Αἰνέαν;132;pt;enéio;Enéias;enéio;Enéias
εἵλετο;138;traducao;prefera;prefira;ele(a) tome, escolha, prefera;ele(a) tome, escolha, prefira
ἄρῃ;142;traducao;ergua;erga;ele(a) ergua, levante, tome, carregue, remova;ele(a) erga, levante, tome, carregue, remova
ἀράτω;142;traducao;ergua;erga;ele(a) ergua, levante, tome, carregue, remova;ele(a) erga, levante, tome, carregue, remova
ἄρῃ;142;pt;ergua;erga;ergua;erga
ἀράτω;142;pt;ergua;erga;ergua;erga
αἰτήσηται;154;traducao;exijisse;exigisse;ele(a) pedisse, solicitasse, exijisse;ele(a) pedisse, solicitasse, exigisse
