grego;strongs;campo;palavra_suspeita;texto_contexto;sugestao;decisao
Ἀββά;5;traducao;abba;Abba;REVISAR MANUALMENTE;Abba
Ἀββά;5;pt;abba;Abba;REVISAR MANUALMENTE;Abba
Ἅβελ;6;traducao;abel;Abel;REVISAR MANUALMENTE;Abel
Ἅβελ;6;pt;abel;Abel;REVISAR MANUALMENTE;Abel
Ἀβιά;7;traducao;abias;Abias;REVISAR MANUALMENTE;Abias
Ἀβιά;7;pt;abias;Abias;REVISAR MANUALMENTE;Abias
Ἀβιάθαρ;8;traducao;abiatar;Abiatar;REVISAR MANUALMENTE;Abiatar
Ἀβιάθαρ;8;pt;abiatar;Abiatar;REVISAR MANUALMENTE;Abiatar
Ἀβιληνῆς;9;traducao;abilene;da Abilene;REVISAR MANUALMENTE;Abilene
Ἀβιληνῆς;9;pt;abilene;da Abilene;REVISAR MANUALMENTE;Abilene
Ἀβιούδ;10;traducao;abiúde;Abiúde;REVISAR MANUALMENTE;Abiúde
Ἀβιούδ;10;pt;abiúde;Abiúde;REVISAR MANUALMENTE;Abiúde
Ἄγαβος;13;traducao;ágabo;Ágabo;REVISAR MANUALMENTE;Ágabo
Ἄγαβος;13;pt;ágabo;Ágabo;REVISAR MANUALMENTE;Ágabo
ἀγαπῶ;25;traducao;prefero;eu amo, no sentido de prefero (ação, não sentimento);REVISAR MANUALMENTE;preferir
ἀγαπῶμεν;25;traducao;preferamos;nós amemos, no sentido de preferamos (ação, não sentimento);REVISAR MANUALMENTE;preferir
ἀγαπᾶτέ;25;traducao;preferais;vós ameis, no sentido de preferais (ação, não sentimento);REVISAR MANUALMENTE;preferir
ᾅδῃ;86;traducao;hade;ao hade;REVISAR MANUALMENTE;Hades
ᾅδῃ;86;pt;hade;ao hade;REVISAR MANUALMENTE;Hades
ᾅδου;86;traducao;hades;do Hades;REVISAR MANUALMENTE;Hades
ᾅδου;86;pt;hades;do Hades;REVISAR MANUALMENTE;Hades
ᾅδης;86;traducao;hades;Hades;REVISAR MANUALMENTE;Hades
ᾅδης;86;pt;hades;Hades;REVISAR MANUALMENTE;Hades
ᾅδην;86;traducao;hades;Hades;REVISAR MANUALMENTE;Hades
ᾅδην;86;pt;hades;Hades;REVISAR MANUALMENTE;Hades
ἀδικήσωσιν;91;traducao;feram;eles(as) façam o mal, agam injustamente, feram;REVISAR MANUALMENTE;firam
Ἀζώρ;107;traducao;azor;Azor;REVISAR MANUALMENTE;Azor
Ἀζώρ;107;pt;azor;Azor;REVISAR MANUALMENTE;Azor
Ἀθήναις;116;traducao;atenas;Atenas;REVISAR MANUALMENTE;Atenas
Ἀθήναις;116;pt;atenas;Atenas;REVISAR MANUALMENTE;Atenas
Ἀθηνῶν;116;traducao;atenas;Atenas;REVISAR MANUALMENTE;Atenas
Ἀθηνῶν;116;pt;atenas;Atenas;REVISAR MANUALMENTE;Atenas
Αἰγύπτῳ;125;traducao;egito;ao Egito;REVISAR MANUALMENTE;Egito
Αἰγύπτῳ;125;pt;egito;ao Egito;REVISAR MANUALMENTE;Egito
Αἰγύπτου;125;traducao;egito;do Egito;REVISAR MANUALMENTE;Egito
Αἰγύπτου;125;pt;egito;do Egito;REVISAR MANUALMENTE;Egito
Αἴγυπτος;125;traducao;egita;egita;REVISAR MANUALMENTE;Egito
Αἴγυπτος;125;pt;egita;egita;REVISAR MANUALMENTE;Egito
Αἴγυπτον;125;traducao;egito;Egito;REVISAR MANUALMENTE;Egito
Αἴγυπτον;125;pt;egito;Egito;REVISAR MANUALMENTE;Egito
Αἰνέα;132;traducao;enéio;enéio;REVISAR MANUALMENTE;Enéias
Αἰνέα;132;pt;enéio;enéio;REVISAR MANUALMENTE;Enéias
Αἰνέαν;132;traducao;enéio;enéio;REVISAR MANUALMENTE;Enéias
Αἰνέαν;132;pt;enéio;enéio;REVISAR MANUALMENTE;Enéias
εἵλετο;138;traducao;prefera;ele(a) tome, escolha, prefera;REVISAR MANUALMENTE;prefira
ἄρῃ;142;traducao;ergua;ele(a) ergua, levante, tome, carregue, remova;REVISAR MANUALMENTE;erga
ἀράτω;142;traducao;ergua;ele(a) ergua, levante, tome, carregue, remova;REVISAR MANUALMENTE;erga
ἄρῃ;142;pt;ergua;ergua;REVISAR MANUALMENTE;erga
ἀράτω;142;pt;ergua;ergua;REVISAR MANUALMENTE;erga
αἰτήσηται;154;traducao;exijisse;ele(a) pedisse, solicitasse, exijisse;REVISAR MANUALMENTE;exigisse
ἀλείψωσιν;218;traducao;ungam;eles(as) ungam;REVISAR MANUALMENTE;unjam
ἀλείψωσιν;218;pt;ungam;ungam;REVISAR MANUALMENTE;unjam
Ἀλέξανδρος;223;traducao;alexandre;Alexandre;REVISAR MANUALMENTE;Alexandre
Ἀλέξανδρος;223;pt;alexandre;Alexandre;REVISAR MANUALMENTE;Alexandre
Ἀλέξανδρον;223;traducao;alexandre;Alexandre;REVISAR MANUALMENTE;Alexandre
Ἀλέξανδρον;223;pt;alexandre;Alexandre;REVISAR MANUALMENTE;Alexandre
Ἀλεξάνδρου;223;traducao;alexandre;do Alexandre;REVISAR MANUALMENTE;Alexandre
Ἀλεξάνδρου;223;pt;alexandre;do Alexandre;REVISAR MANUALMENTE;Alexandre
ἄλογα;249;traducao;irracionais;irracionais;REVISAR MANUALMENTE;
ἄλογα;249;pt;irracionais;irracionais;REVISAR MANUALMENTE;
Ἁλφαίου;256;traducao;alfeu;de Alfeu;REVISAR MANUALMENTE;Alfeu
Ἁλφαίου;256;pt;alfeu;de Alfeu;REVISAR MANUALMENTE;Alfeu
Ἀμιναδάβ;284;traducao;aminadabe;Aminadabe;REVISAR MANUALMENTE;Aminadabe
Ἀμιναδάβ;284;pt;aminadabe;Aminadabe;REVISAR MANUALMENTE;Aminadabe
Ἀμπλιᾶτος;291;traducao;amplíato;Amplíato;REVISAR MANUALMENTE;Amplíato
Ἀμπλιᾶτος;291;pt;amplíato;Amplíato;REVISAR MANUALMENTE;Amplíato
ἀμπλίαν;291;traducao;amplíato;Amplíato;REVISAR MANUALMENTE;Amplíato
ἀμπλίαν;291;pt;amplíato;Amplíato;REVISAR MANUALMENTE;Amplíato
Ἀμφίπολιν;295;traducao;anfípoli;anfípoli;REVISAR MANUALMENTE;Anfípolis
Ἀμφίπολιν;295;pt;anfípoli;anfípoli;REVISAR MANUALMENTE;Anfípolis
Ἀμών;300;traducao;amon;Amon;REVISAR MANUALMENTE;Amon
Ἀμών;300;pt;amon;Amon;REVISAR MANUALMENTE;Amon
Ἀμώς;301;traducao;amós;Amós;REVISAR MANUALMENTE;Amós
Ἀμώς;301;pt;amós;Amós;REVISAR MANUALMENTE;Amós
ἀναβαίνουσιν;305;traducao;subem;eles(as) subem;REVISAR MANUALMENTE;subam
ἀναβαίνουσιν;305;pt;subem;subem;REVISAR MANUALMENTE;sobem
ἀνεῖλον;337;traducao;destruiram;eles(as) ocuparam, mataram, aboliram, destruiram;REVISAR MANUALMENTE;destruíram
ἀνείλετε;337;traducao;destruistes;vós ocupastes, matastes, abolistes, destruistes;REVISAR MANUALMENTE;destruístes
Ἁνανίας;367;traducao;ananias;Ananias;Ananias;Ananias
