forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἀποκριθεὶς,611,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo respondido,tendo respondido,passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'tendo respondido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γενέσθαι,1096,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,acontecer,"vir a ser, tornar-se, acontecer",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'acontecer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
πορευθέντες,4198,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,indo,"tendo ido, tendo movido, tendo partido",passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, porém a passiva não está explícita em 'indo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐφοβήθησαν,5399,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,temeram,"eles(as) temeram, ficaram alarmados",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, porém a passiva não está explícita em 'temeram'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐπλήσθησαν,4130,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram multiplicado,"eles(as) foram multiplicado, foram aumentado, foram abundado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram multiplicado'.,Revisar o número do particípio; provável forma plural: 'multiplicados'.
φοβεῖσθε,5399,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,temais,que vós temais,passiva_a_confirmar,revisar,"'V-ASP-2P' é passiva, porém a passiva não está explícita em 'temais'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἔρχεσθαι,2064,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,vir,"vir, ir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'vir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξηράνθη,3583,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,secou,"ele(a) secou, murchou",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, porém a passiva não está explícita em 'secou'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σωθῆναι,4982,V-ANP,Verbo - Aoristo Infinitivo Passiva,salvar,salvar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'salvar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
δύνασθαι,1410,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,poder,"poder, ser capaz, conseguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'poder'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
πορευθεὶς,4198,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,indo,"tendo ido, tendo sido movido, tendo partido",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'indo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποκριθέντες,611,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,tendo respondido,tendo respondido,passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, porém a passiva não está explícita em 'tendo respondido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δοθεῖσάν,1325,V-APP-AFS,Verbo - Aoristo Particípio Passiva - Acusativo Feminino Singular,tendo dado,tendo dado,passiva_a_confirmar,revisar,"'V-APP-AFS' é passiva, porém a passiva não está explícita em 'tendo dado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
φοβήθητε,5399,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,temei,"vós temei, reverenciai",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'temei'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀφιέναι,863,V-ANP,Verbo - Aoristo Infinitivo Passiva,perdoar,"ser perdoado(a), cancelado(a), despedido(a)",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'perdoar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἐγενήθησάν,1096,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,ocorreram,"eles(as) foram tornados, foram acontecidos",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, porém a passiva não está explícita em 'ocorreram'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐργάζεσθαι,2038,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,realizar,"realizar, labutar, executar, praticar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'realizar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
σταθεὶς,2476,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo posicionado,"tendo posicionado, tendo estado de pé, tendo parado, tendo estabelecido",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'tendo posicionado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐλυπήθη,3076,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,ficou angustiado,ele(a) ficou angustiado,passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, porém a passiva não está explícita em 'ficou angustiado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
προσεύχεσθαι,4336,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,orar,"orar, suplicar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'orar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐσπλαγχνίσθη,4697,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,teve compaixão,"ele(a) teve compaixão, foi movido pela compaixão",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, porém a passiva não está explícita em 'teve compaixão'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐγερθῆναί,1453,V-ANP,Verbo - Aoristo Infinitivo Passiva,levantar,"levantar, despertar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levantar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
σταθήσεται,2476,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,ficará de pé,"ele(a) será posicionado(a), ficará de pé, será estabelecido(a)",passiva_a_confirmar,revisar,"'V-FIP-3S' é passiva, porém a passiva não está explícita em 'ficará de pé'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐφοβήθη,5399,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,temeu,"ele(a) foi temido, foi ficado alarmado, foi reverenciado",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, porém a passiva não está explícita em 'temeu'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀχθῆναι,71,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar,"levar, conduzir, trazer",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
βαπτίζομαι,907,V-PIP-1S,Verbo - Presente Indicativo Passiva - 1ª Pessoa Singular,sou submergido,"eu sou submergido, sou batizado",passiva_a_confirmar,revisar,"'V-PIP-1S' é passiva, porém a passiva não está explícita em 'sou submergido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐγερθήσονται,1453,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão levantado,"eles(as) serão levantado, serão despertado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão levantado'.,Revisar o número do particípio; provável forma plural: 'levantados'.
πορεύθητι,4198,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,vai,"tu vai, move-te, parte",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'vai'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀναχθέντες,321,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,tendo conduzido,tendo conduzido,passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, porém a passiva não está explícita em 'tendo conduzido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποδοκιμασθῆναι,593,V-ANP,Verbo - Aoristo Infinitivo Passiva,rejeitar,"rejeitar, desaprovar, repudiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'rejeitar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀποκρίθητέ,611,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,respondei,vós respondei,passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'respondei'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γεννηθεὶς,1080,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo gerado,"tendo gerado, tendo dado à luz, tendo produzido.",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'tendo gerado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γεννηθῆναι,1080,V-ANP,Verbo - Aoristo Infinitivo Passiva,gerar,"gerar, dar à luz, produzir.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'gerar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
δεήθητε,1189,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,suplicai,"suplicai vós, implorai",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'suplicai'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δοθείσης,1325,V-APP-GFS,Verbo - Aoristo Particípio Passiva - Genitivo Feminino Singular,tendo dado,tendo dado,passiva_a_confirmar,revisar,"'V-APP-GFS' é passiva, porém a passiva não está explícita em 'tendo dado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἠδυνήθησαν,1410,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram podido,"eles(as) foram podido, foram sido capaz, foram conseguido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram podido'.,Revisar o número do particípio; provável forma plural: 'podidos'.
καθαρίσθητι,2511,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,sê limpo,"tu sê limpo, purificado",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'sê limpo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
περιτέμνεσθαι,4059,V-PNP,Verbo - Presente Infinitivo Passiva,circuncidar,circuncidar,passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'circuncidar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
σβέννυται,4570,V-PIP-3S,Verbo - Presente Indicativo Passiva - 3ª Pessoa Singular,é apagado,"ele(a) é apagado, é extinguido",passiva_a_confirmar,revisar,"'V-PIP-3S' é passiva, porém a passiva não está explícita em 'é apagado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σκανδαλισθήσονται,4624,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,tropeçarão,"eles(as) tropeçarão, serão ofendidos, se escandalizarão",passiva_a_confirmar,revisar,"'V-FIP-3P' é passiva, porém a passiva não está explícita em 'tropeçarão'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σταυρωθῆναι,4717,V-ANP,Verbo - Aoristo Infinitivo Passiva,crucificar,"ser crucificado, pendurado numa cruz ou estaca",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'crucificar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ὑποτάγητε,5293,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sede sujeitos,"vós sede sujeitos, sede subordinados",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'sede sujeitos'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ὑστερεῖσθαι,5302,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,faltar,"faltar, ficar aquém, estar necessitado, falhar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'faltar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
φοβηθεὶς,5399,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo temido,"tendo temido, tendo ficado alarmado, tendo reverenciado",passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, porém a passiva não está explícita em 'tendo temido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
Ἄρθητι,142,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,és erguido,"tu és erguido, és levantado, és tomado, és carregado, és removido",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'és erguido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀλλαγησόμεθα,236,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos mudado,"nós seremos mudado, seremos trocado, seremos transformado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos mudado'.,Revisar o número do particípio; provável forma plural: 'mudados'.
ἀνάγεσθαι,321,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,conduzir,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀναχθῆναι,321,V-ANP,Verbo - Aoristo Infinitivo Passiva,conduzir,conduzir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'conduzir'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀναιρεθῆναι,337,V-ANP,Verbo - Aoristo Infinitivo Passiva,tomar,"tomar, matar, abolir, destruir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'tomar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀναστρέφεσθαι,390,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,conduzir,"conduzir, viver, comportar, voltar, derrubar.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'conduzir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
