forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἀποκριθεὶς,611,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo respondido,tendo respondido,passiva_a_confirmar,revisar,"'V-APP-NMS' é passiva, mas a passiva não está explícita em 'tendo respondido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γενέσθαι,1096,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,acontecer,"vir a ser, tornar-se, acontecer",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'acontecer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
πληρωθῇ,4137,V-ASP-3S,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Singular,fosse cumprido,"ele(a) fosse completado, seja enchido, seja preenchido, seja satisfeito, seja terminado, seja cumprido",passiva_a_confirmar,revisar,"'V-ASP-3S' é passiva, mas a passiva não está explícita em 'fosse cumprido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
πορευθέντες,4198,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,indo,"tendo ido, tendo movido, tendo partido",passiva_a_confirmar,revisar,"'V-APP-NMP' é passiva, mas a passiva não está explícita em 'indo'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐφοβήθησαν,5399,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,temeram,"eles(as) temeram, ficaram alarmados",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, mas a passiva não está explícita em 'temeram'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐπλήσθησαν,4130,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram multiplicado,"eles(as) foram multiplicado, foram aumentado, foram abundado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram multiplicado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
φοβεῖσθε,5399,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,temais,que vós temais,passiva_a_confirmar,revisar,"'V-ASP-2P' é passiva, mas a passiva não está explícita em 'temais'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βαπτισθῆναι,907,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser submerso,"ser submerso, ser batizado",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser submerso'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἔρχεσθαι,2064,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,vir,"vir, ir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'vir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐξηράνθη,3583,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,secou,"ele(a) secou, murchou",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, mas a passiva não está explícita em 'secou'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
