forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἐντραπήσονται,1788,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão respeitado,"eles(as) serão respeitado, serão envergonhado, serão reverenciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão respeitado'.,Revisar o número do particípio; forma plural provável: 'respeitados'.
ἐπλανήθησαν,4105,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram saido do caminho",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; forma plural provável: 'desviados'.
ἀναπαήσονται,373,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão descansado,"eles(as) serão descansado, serão refrescado, serão dado descanso",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão descansado'.,Revisar o número do particípio; forma plural provável: 'descansados'.
ἠδυνήθητε,1410,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes sido capaz,"vós fostes sido capaz, fostes tido poder",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes sido'.,Reescrever a construção; 'sido' não deve ser pluralizado.
ἐνυπνιασθήσονται,1797,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão sonhado,eles(as) serão sonhado,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão sonhado'.,Revisar o número do particípio; forma plural provável: 'sonhados'.
ἡσσώθητε,2274,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes sido derrotado,"vós fostes sido derrotado, fostes sido inferior, fostes sido superado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes sido'.,Reescrever a construção; 'sido' não deve ser pluralizado.
πλανηθῆτε,4105,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais desviado,"vós sejais desviado, sejais saido do caminho",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais desviado'.,Revisar o número do particípio; forma plural provável: 'desviados'.
πλεονεκτηθῶμεν,4122,V-ASP-1P,Verbo - Aoristo Subjuntivo Passiva - 1ª Pessoa Plural,sejamos cobiçado,"nós sejamos cobiçado, sejamos fraudado, sejamos tirado vantagem",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejamos cobiçado'.,Revisar o número do particípio; forma plural provável: 'cobiçados'.
ἡττήθητε,2274,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes sido derrotado,"vós fostes sido derrotado, fostes sido inferior, fostes sido superado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes sido'.,Reescrever a construção; 'sido' não deve ser pluralizado.
σωθῆναι,4982,V-ANP,Verbo - Aoristo Infinitivo Passiva,salvar,salvar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'salvar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀφιέναι,863,V-ANP,Verbo - Aoristo Infinitivo Passiva,perdoar,"ser perdoado(a), cancelado(a), despedido(a)",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'perdoar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἐγερθῆναί,1453,V-ANP,Verbo - Aoristo Infinitivo Passiva,levantar,"levantar, despertar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levantar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀχθῆναι,71,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar,"levar, conduzir, trazer",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'levar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀποδοκιμασθῆναι,593,V-ANP,Verbo - Aoristo Infinitivo Passiva,rejeitar,"rejeitar, desaprovar, repudiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'rejeitar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
γεννηθῆναι,1080,V-ANP,Verbo - Aoristo Infinitivo Passiva,gerar,"gerar, dar à luz, produzir.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'gerar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
περιτέμνεσθαι,4059,V-PNP,Verbo - Presente Infinitivo Passiva,circuncidar,circuncidar,passiva_sem_marca,alta,"'V-PNP' é passiva, mas 'pt' está em infinitivo ativo: 'circuncidar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
σταυρωθῆναι,4717,V-ANP,Verbo - Aoristo Infinitivo Passiva,crucificar,"ser crucificado, pendurado numa cruz ou estaca",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'crucificar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀναχθῆναι,321,V-ANP,Verbo - Aoristo Infinitivo Passiva,conduzir,conduzir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'conduzir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀναιρεθῆναι,337,V-ANP,Verbo - Aoristo Infinitivo Passiva,tomar,"tomar, matar, abolir, destruir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'tomar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
ἀποδοθῆναι,591,V-ANP,Verbo - Aoristo Infinitivo Passiva,retribuir,"retribuir, devolver, render",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'retribuir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
δεθῆναι,1210,V-ANP,Verbo - Aoristo Infinitivo Passiva,amarrar,"amarrar, prender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'amarrar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
διακονηθῆναι,1247,V-ANP,Verbo - Aoristo Infinitivo Passiva,servir,"servir, ministrar, atender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'servir'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
δικαιωθῆναι,1344,V-ANP,Verbo - Aoristo Infinitivo Passiva,justificar,"justificar, declarar justo, absolver",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'justificar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
διορυχθῆναι,1358,V-ANP,Verbo - Aoristo Infinitivo Passiva,cavar,"cavar, romper",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'cavar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
κηρυχθῆναι,2784,V-ANP,Verbo - Aoristo Infinitivo Passiva,proclamar,"proclamar, pregar, anunciar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'proclamar'.","Revisar para uma forma passiva adequada, quando o contexto exigir."
