forma_grega,strongs,pt_antigo,pt_novo,motivo
ἐπλήσθησαν,4130,foram multiplicado,foram multiplicados,concordancia_participio
ἠδυνήθησαν,1410,foram podido,foram podidos,concordancia_participio
ἀλλαγησόμεθα,236,seremos mudado,seremos mudados,concordancia_participio
ἀνεστράφημέν,390,fomos conduzido,fomos conduzidos,concordancia_participio
ἐδόθησαν,1325,foram dado,foram dados,concordancia_participio
δικαιωθῶμεν,1344,sejamos justificado,sejamos justificados,concordancia_participio
ἠγέρθησαν,1453,foram levantado,foram levantados,concordancia_participio
ἐξεθαμβήθησαν,1568,foram ficado muito surpreso,foram ficados muito surpreso,concordancia_participio
ἐξετράπησαν,1624,foram desviado,foram desviados,concordancia_participio
εὑρέθησαν,2147,foram encontrado,foram encontrados,concordancia_participio
ἰάθητε,2390,fostes curado,fostes curados,concordancia_participio
ἐκαθαρίσθησαν,2511,foram limpado,foram limpados,concordancia_participio
κληθῆτε,2564,sejais chamado,sejais chamados,concordancia_participio
ἐκοιμήθησαν,2837,foram dormido,foram dormidos,concordancia_participio
ἐκρίθησαν,2919,foram julgado,foram julgados,concordancia_participio
ἐλυπήθησαν,3076,foram lamentado,foram lamentados,concordancia_participio
παρεκλήθημεν,3870,fomos chamado para o seu lado,fomos chamados para o seu lado,concordancia_participio
ἐπείσθησαν,3982,foram persuadido,foram persuadidos,concordancia_participio
ἐπλανήθησαν,4105,foram desviado,foram desviados,concordancia_participio
πληρωθῆτε,4137,sejais preenchido,sejais preenchidos,concordancia_participio
Συνχάρητέ,4796,sois alegrado com,sois alegrados com,concordancia_participio
συνηγέρθητε,4891,fostes criado juntos,fostes criados juntos,concordancia_participio
ἐσφραγίσθητε,4972,fostes selado,fostes selados,concordancia_participio
Σώθητε,4982,sois salvado,sois salvados,concordancia_participio
σωθησόμεθα,4982,seremos salvado,seremos salvados,concordancia_participio
Ταπεινώθητε,5013,sois humilhado,sois humilhados,concordancia_participio
ἐτέθησαν,5087,foram colocado,foram colocados,concordancia_participio
φανῶσιν,5316,sejam mostrado,sejam mostrados,concordancia_participio
ἡγιάσθητε,37,fostes santificado,fostes santificados,concordancia_participio
